Name,cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
UPS,0,0.017944394174228,-0.006966800787916,5190730.1,0.6391530829503295,-0.1332197351095966,0.0146546331873827,0.176829268292678,1.1191,64513.332141899744
NKE,0,0.0171397354319258,0.001327142477301,7850543.75,0.3515866258931867,0.0240287096270867,0.0265275026664635,0.304422745548536,0.6563,134781.73091573975
CTL,0,0.0213679473071641,0.0017652978542925,11624825.45,0.379464292869106,0.0314389359129383,0.0246189917936695,0.214285714285713,0.1705999999999999,491131.9460726847
NTRS,0,0.0150776433337588,-0.0016111589319041,1346400.25,0.3788500365587575,-0.033857663533474,0.0254144743373373,0.0312499999999994,1.0073,15045.358880174725
LRCX,0,0.0334799950953085,-0.006484208430548,4337713.5,0.3498710373145652,-0.1312952371311433,0.0456213948610383,0.0038314176245212,1.7163,19829.138262541517
ESRX,0,0.0129390268248058,-0.003118671159728,4502756.4,0.4644588403187112,-0.0620698285571266,0.0188125416944629,0.0212765957446817,0.7495,49272.62174783189
KMX,0,0.0178824583811384,-0.0030952798473799,1983951.45,0.5835208113294741,-0.0630372492836675,0.0224770642201834,0.5510204081632673,0.654,28751.406727828744
FCX,-1,0.0303068848301152,-0.0024381645762649,22788606.4,0.3102721809371293,-0.0560253699788584,0.0394736842105264,0.1205673758865257,0.1785999999999999,1737079.8992161255
MMM,0,0.0167406329435747,-0.0015681062678109,2875165.7,0.4397287886362571,-0.0335295092838196,0.0201509498692054,0.0785273462438814,2.3319,12374.329945537973
TRIP,-1,0.0385786314779297,0.0092615899348027,3387228.25,0.6637009441440251,0.1867591789534545,0.0326431181485993,0.7835820895522347,0.4105,103030.0365408039
MYL,0,0.0213402770289053,-0.0043082022304935,5888579.0,0.2442155601651582,-0.0867012869722284,0.0279357231149566,0.4424778761061965,0.4045,128269.02348578491
